1,10
2,1
3,2
4,3
5,4
6,5
7,6
8,7
9,8
10,9
11,14
12,11
13,12
14,13
15,15
16,16
17,20
18,17
19,18
20,19
21,30
22,31
23,32
24,33
25,217
26,34
27,35
28,36
29,40
30,41
31,43
32,44
33,45
34,46
35,47
36,48
37,49
38,50
39,67
40,74
41,76
42,79
43,89
44,108
45,109
46,111
47,114
48,118
49,119
50,121
51,122
52,124
53,125
54,127
55,129
56,130
57,133
58,148
59,154
60,161
61,166
62,169
63,255
64,194
65,195
66,260
67,200
68,201
69,202
70,214
71,216
72,42
73,75
74,188
75,205
76,208
77,29
78,38
79,39
80,51
81,52
82,53
83,56
84,57
85,59
86,219
87,218
88,65
89,66
90,69
91,70
92,71
93,72
94,73
95,77
96,78
97,80
98,221
99,82
100,84
101,224
102,226
103,227
104,95
105,96
106,98
107,102
108,103
109,112
110,116
111,236
112,132
113,138
114,237
115,238
116,239
117,144
118,146
119,147
120,149
121,150
122,152
123,241
124,240
125,155
126,242
127,156
128,157
129,159
130,160
131,162
132,244
133,243
134,245
135,168
136,246
137,249
138,251
139,252
140,253
141,248
142,171
143,175
144,256
145,257
146,182
147,183
148,184
149,186
150,189
151,258
152,193
153,261
154,199
155,203
156,209
157,213
158,215
159,60
160,225
161,230
162,143
163,140
164,142
165,21
166,22
167,23
168,24
169,25
170,26
171,27
172,28
173,37
174,83
175,223
176,100
177,113
178,235
179,196
180,211
181,54
182,55
183,58
184,61
185,62
186,63
187,64
188,220
189,68
190,81
191,85
192,86
193,87
194,88
195,90
196,91
197,92
198,93
199,222
200,94
201,97
202,99
203,101
204,229
205,228
206,104
207,105
208,106
209,231
210,107
211,232
212,233
213,110
214,234
215,115
216,117
217,120
218,123
219,126
220,128
221,131
222,134
223,135
224,136
225,137
226,139
227,141
228,145
229,151
230,153
231,158
232,163
233,165
234,167
235,247
236,250
237,254
238,170
239,172
240,173
241,174
242,176
243,177
244,178
245,179
246,180
247,181
248,190
249,191
250,192
251,259
252,197
253,198
254,204
255,206
256,207
257,262
258,210
259,212
260,164
261,185
262,187
263,263
264,273
265,355
266,425
267,377
268,426
269,328
270,266
271,267
272,268
273,269
274,270
275,272
276,275
277,278
278,280
279,282
280,284
281,285
282,286
283,288
284,289
285,293
286,294
287,295
288,298
289,300
290,301
291,302
292,303
293,304
294,305
295,306
296,307
297,309
298,311
299,312
300,313
301,314
302,315
303,316
304,317
305,318
306,319
307,320
308,322
309,323
310,324
311,325
312,326
313,327
314,329
315,330
316,331
317,334
318,337
319,339
320,341
321,342
322,343
323,344
324,345
325,346
326,347
327,348
328,349
329,350
330,351
331,352
332,353
333,354
334,356
335,357
336,358
337,359
338,361
339,362
340,363
341,364
342,365
343,366
344,367
345,369
346,370
347,371
348,372
349,373
350,374
351,375
352,376
353,427
354,378
355,380
356,381
357,382
358,383
359,384
360,385
361,386
362,387
363,388
364,390
365,391
366,392
367,394
368,396
369,397
370,398
371,399
372,400
373,402
374,403
375,405
376,407
377,408
378,264
379,296
380,297
381,281
382,283
383,332
384,401
385,271
386,265
387,422
388,274
389,421
390,279
391,277
392,287
393,290
394,291
395,292
396,308
397,299
398,335
399,333
400,321
401,310
402,340
403,424
404,338
405,336
406,360
407,389
408,406
409,393
410,276
411,423
412,404
413,395
414,379
415,368
416,577
417,576
418,465
419,469
420,581
421,495
422,534
423,553
424,424
425,545
426,530
427,499
428,527
429,496
430,418
431,419
432,420
433,421
434,422
435,423
436,425
437,426
438,427
439,574
440,428
441,429
442,430
443,578
444,433
445,434
446,435
447,436
448,437
449,438
450,439
451,440
452,442
453,443
454,444
455,446
456,447
457,449
458,450
459,452
460,453
461,454
462,455
463,456
464,457
465,458
466,459
467,460
468,464
469,466
470,580
471,467
472,468
473,471
474,473
475,474
476,475
477,477
478,478
479,479
480,480
481,481
482,482
483,583
484,484
485,485
486,486
487,584
488,489
489,491
490,492
491,493
492,494
493,498
494,500
495,501
496,502
497,503
498,504
499,505
500,506
501,507
502,509
503,510
504,511
505,515
506,516
507,517
508,518
509,519
510,520
511,521
512,522
513,523
514,524
515,525
516,526
517,528
518,529
519,531
520,533
521,535
522,536
523,538
524,539
525,541
526,542
527,543
528,544
529,546
530,547
531,548
532,549
533,550
534,551
535,554
536,555
537,556
538,557
539,558
540,559
541,560
542,561
543,562
544,563
545,564
546,565
547,566
548,567
549,568
550,569
551,570
552,571
553,572
554,417
555,448
556,451
557,470
558,476
559,483
560,488
561,508
562,416
563,573
564,575
565,432
566,579
567,445
568,461
569,463
570,582
571,472
572,487
573,490
574,512
575,513
576,514
577,532
578,537
579,540
580,552
581,431
582,441
583,497
584,462
